,SNO,VENDOR,SITE,SDCA,GEN,AVAILABILITY,TRAFFIC,DOWN TIME,DOWN DURATION,REASON,UPDATED BY
0,1,NOR,BSC68-67_KannavaramUSO_CT2126C,SATYAVEDU,2G,93.0,4.61 ERL,0000-00-00 00:00:00,838:59:59,Media - SSA OFC Break,919444900500.0
1,2,NSN,553_579_ChinnaPandur_CT2231,SATYAVEDU,3G,94.9,19.90 GB,2021-08-25 05:14:38,04:55:12,Media - STR Double OFC Break,919444900500.0
2,3,NSN,504_54_ChinnaPandur_CT2231,SATYAVEDU,2G,94.9,216.19 ERL,2021-08-25 05:14:58,04:54:52,Media - STR Double OFC Break,919444900500.0
3,4,NOR,BSC68-69_Avanthi_CT5059B,SATYAVEDU,2G,98.0,57.67 ERL,2021-08-25 05:19:54,04:49:56,Update,
4,5,NOR,BSC68-83_Gollapalli_CT5029B,B.KOTHAKOTA,2G,98.9,100.76 ERL,2021-08-25 05:35:25,04:34:25,Power - APSEB Power Supply Problem,919440408269.0
5,6,HUW,102_0172_Ramasamudram_CT2030C,PUNGANUR,3G,100.0,32.16 GB,2021-08-25 09:04:21,01:05:29,Update,
6,7,NOR,BSC70-21_Ramasamudram_CT2030A,PUNGANUR,2G,100.0,166.78 ERL,2021-08-25 09:06:46,01:03:04,Update,
7,8,NOR,BSC70-78_Chembakur-USO_CT2097C,PUNGANUR,2G,99.7,59.69 ERL,2021-08-25 09:06:46,01:03:04,Update,
8,9,NOR,BSC70-77_Moogavadi-USO_CT2142C,PUNGANUR,2G,99.1,95.94 ERL,2021-08-25 09:06:46,01:03:04,Update,
9,10,NOR,BSC70-27_Vanamaladinne_CT2296B,PUNGANUR,2G,100.0,93.16 ERL,2021-08-25 09:06:46,01:03:04,Update,
10,11,HUW,102_0190_Pengarakunta_CT2278,PALAMANER,3G,95.3,8.37 GB,2021-08-25 09:37:25,00:32:25,Update,
11,12,NOR,BSC70-47_Pengarakunta_CT2278A,PALAMANER,2G,96.6,147.73 ERL,2021-08-25 09:39:58,00:29:52,,
12,13,NOR,BSC70-81_Thelaralpalli_CT2224B,CHITTOOR,2G,92.9,126.84 ERL,2021-08-25 09:56:45,00:13:05,,
13,14,NSN,NGVPalliBuStand_VIOM_AP_CT5010,MADANAPALLI,4G,100.0,133.34 GB,2021-08-25 09:56:55,00:12:55,,
14,15,NSN,Basinkonda_ATC_AP_CT5073,MADANAPALLI,4G,100.0,134.09 GB,2021-08-25 09:57:56,00:11:54,,
15,16,NSN,504_85_Karani_CT5030,SATYAVEDU,2G,95.9,64.36 ERL,2021-08-25 10:01:53,00:07:57,,
16,17,NSN,553_658_AKASA_GANGA_CT5090,CHANDRAGIRI,3G,91.2,5.25 GB,2021-08-25 10:03:23,00:06:27,,
17,18,HUW,102_0184_Varathuru_USO_CT2182,CHITTOOR,3G,94.5,20.59 GB,2021-08-25 10:08:11,00:01:39,,
