SR.NO,RPID,SITE_NAME_3G,SITE_NAME,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
1,CT2005,102_0110_Damalacheruvu_CT2005B,BSC68-40_Damalacheruvu_CT2005A,2G+3G,HUW,13.4803,79.04797,Rural,Damalacheruvu,Pakala,RC,Room,5396,"Damalcheruvu (v),pakala(M),Chittoor DT.",Chittoor,PAKALA,517152,NBSNL,BSNL Infra,CT2005,GBT,80,33,Mono,HIGH WAY,Nortel,I,4/8/2005,S8K_ID,3,4-4-4,100/140/320,1.0,OFC,E1,,,,,,,,60,Tirupati,VII +,3/1/2017,100/140/320,ID,3.0,33.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2005,,,,,100 Mbps,0.0,,,,
2,CT2018,102_0171_Rayalpeta_CT2018B,BSC70-23_Rayalpeta_CT2018B,2G+3G,HUW,13.32749,78.72491,Rural,Rayalpeta,Peddapanjani,,Exchange,5416,"Rayalpeta(V),peddapanjani(M),Chittoor DT.",Rajampet,PUNGANUR,517419,BSNL,BSNL Infra,CT2018,GBT,30,30,Mono,KATHREIN,Nortel,IV,2/21/2006,S12K_OD,3,4-4-4,40/200/280,,DMW,,,HUAWEI,0.6m,BSC70-22_Pedapanjani_CT2152B,E1,1.0,,70,Tirupati,VII +,5/6/2017,40/200/280,id,3.0,29.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,20 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2018,,,2017265546@12/9/2017@,,20 Mbps,0.0,,,,
3,CT2026,102_0153_Gurramkonda_CT2026A,BSC68-19_Gurramkonda_CT2026A,2G+3G,HUW,13.78259,78.58524,Rural,Gurramkonda,Gurramkonda,SH,Exchange,5370,"Gurramkonda(V&M),Chittoor DT.",Rajampet,VAYALPADU,517297,BSNL,BSNL Infra,CT2026,GBT,40,40,Mono,KATHREIN,Nortel,IV,12/31/2005,S12K_ID,3,4-4-4,174/251/336,1.0,OFC,E1,,,,,,,,68,Tirupati,VII +,5/8/2017,174/251/336,ID,3.0,39.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2026,,,,,100 Mbps,0.0,,,,
4,CT2030,102_0172_Ramasamudram_CT2030C,BSC70-21_Ramasamudram_CT2030A,2G+3G,HUW,13.36484,78.42752,Rural,Ramasamudram,Ramasamudram,,Exchange,5414,"Ramsamdram(V&M),Chittoor DT.",Rajampet,PUNGANUR,517417,BSNL,BSNL Infra,CT2030,GBT,40,40,Mono,KATHREIN,Nortel,IV,1/28/2006,S12K_ID,3,4-4-4,88/167/280,1.0,OFC,E1,,,,,,,,70,Tirupati,VII +,5/6/2017,88/167/280,ID,3.0,39.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2030,,,,,45 Mbps,0.0,,,,
5,CT2043,102_0165_Burrakayalakota_CT2043,BSC68-14_Burakayalakta_CT2043A,2G+3G,HUW,13.72976,78.35275,Rural,Burakayalakota,B.Kothakota,SH,Exchange,5391,"Burrakayalakota,Bkotakota(M),Chittoor DT.",Rajampet,MADANAPALLI,517351,BSNL,BSNL Infra,CT2043,GBT,40,35,Dual,AGISSON,Nortel,IV,11/17/2005,S12K_ID,3,4-4-4,120/230/315,1.0,OFC,E1,,,,,,,,68,Tirupati,VIII,,,ID,,,,,OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,CT2043,,,CT2043,BSC68-26_Valasapalle_CT2295B,ID,,,100 Mbps,0.0,,,,
6,CT2047,102_0176_Gudupalli_CT2047C,505_50471_Gudupalli_CT2047,2G+3G,HUW,12.79195,78.28014,Rural,Gudupalli,Gudupalle,,Room,5426,"Gudupalli(V&M),Chittoor DT.",Chittoor,KUPPAM,517425,BSNL,BSNL Infra,CT2047,GBT,40,40,Dual,XAHT,NSN,IV,3/3/2006,S12K_ID,3,4-4-4,0/70/240,1.0,OFC,E1,,,,,,,,70,Tirupati,VII +,5/23/2017,0/70/240,ID,3.0,39.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,CT2047,,,,,,,,,,,,45 Mbps,505.0,290818-YES-(E1+STR-MADM+STR-STM),STD,,
7,CT2048,102_0109_HorselyHills_CT2048B,BSC68-13_Horselyhills_CT2048B,2G+3G,HUW,13.64954,78.39674,Rural,Horsleyhills,B.Kothakota,TS,Room,5391,"horselyhills,B.kothakota(M),Chittoor DT.",Rajampet,MADANAPALLI,517352,BSNL,BSNL Infra,CT2048,GBT,40,36,Mono,HIGH WAY,Nortel,III,8/28/2004,S12K_ID,3,4-4-4,120/350/40,1.0,OFC,E1,,,,,,,,68,Tirupati,VII +,3/7/2017,120/350/40,ID,3.0,36.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2048,,,,,100 Mbps,0.0,,,,
8,CT2052,102_0133_KARVETINAGAR_CT2052A,BSC70-41_Karvetinagarm_CT2052A,2G+3G,HUW,13.42286,79.44759,Rural,Karvetinagaram,Karvetinagar,NH,Shelter,5408,"kavetinagaram exge,&M,Chittoor DT.",Tirupati,PUTTUR,517582,BSNL,BSNL Infra,CT2052,GBT,60,52,Mono,KATHREIN,Nortel,IV,2/25/2006,S12K_ID,3,3-3-3,80/220/310,1.0,OFC,E1,,,,,,,,67,Tirupati,VII +,3/23/2017,80/220/310,ID,3.0,45.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2052,,,,,45 Mbps,0.0,,,,
9,CT2057,102_0119_Mulakalacheruvu_CT2057B,BSC68-15_MulakalChervu_CT2057A,2G+3G,HUW,13.79387,78.27196,Rural,Mulakalacheruvu,Mulakalacheruvu,SH,Room,5367,"Mulakalacheruvu exge&(M),Chittoor DT.",Rajampet,MADANAPALLI,517350,BSNL,BSNL Infra,CT2057,GBT,40,40,Mono,KATHREIN,Nortel,III+,8/30/2004,S12K_ID,3,4-4-4,140/230/330,1.0,OFC,E1,,,,,,,,68,Tirupati,VII +,3/25/2017,140/230/330,ID,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2057,,,,,100 Mbps,0.0,,,,
10,CT2058,102_0157_NaraharipetTE_CT2058C,BSC70-15_NaraharipetTE_CT2058A,2G+3G,HUW,13.09352,79.13355,Rural,Naraharipeta,Gudipala,NH,Exchange,5431,"Naraharipeta xge,gudipala(M),Chittoor DT.",Chittoor,CHITTOOR,517132,BSNL,BSNL Infra,CT2058,GBT,60,37,Mono,HIGH WAY,Nortel,I,6/4/2004,S8K_ID,3,4-4-4,50/150/335,2.0,OFC,E1,,,,,,,,60,Tirupati,VII +,5/4/2017,50/150/335,ID,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2058,,,,,45 Mbps,0.0,,,,
