SR.NO,RPID,SITE_NAME,TECHNOLOGY,3G_TECH,SITE_NAME_3G,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
1,CT2001,505_50011_NH4_Bangarupalem_CT2001,2G+3G,NSN,553_35012_Bangarupalem_CT2001,13.2025,78.91376,Rural,Bangarupalem,Bangarupalem,NH,Exchange,5429.0,"Bangarupalem exge(v&M),Chittoor DT.",Chittoor,BANGARUPALYAM,517416.0,BSNL,BSNL Infra,CT2001,GBT,60.0,40.0,Mono,HIGH WAY,NSN,I,6/12/2004,BTS18K_ID,3.0,4-4-4,100/250/180,,DMW,,,NEW NEC(HFCL),0.91.2,BSC70-12_G_K_Manchi_CT2111,FE,,,70.0,Tirupati,VII +,4/21/2017,100/250/180,RRH,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,50 Mbps,,,,,,Tiruapti,,553.0,CT2001,CT2001,,,,,CT2001,,,,,230818-YES(FE+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),50 Mbps,505.0,230818-YES(FE+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),BAN,,
2,CT2002,505_50021_CTR_Greamspet_CT2002,2G+4G,NSN,4G_35023_Greamspet_CT2002,13.20171,79.09397,E-City,Chittoor,Chittoor,,Room,5421.0,"4-908,4-910,Old Collectorate Office Road,Greamspet ,Chittoor DT.",Chittoor,CHITTOOR,517002.0,NBSNL,BSNL Infra,CT2002,MARR,12.0,26.0,Dual,MOBI,NSN,I,6/4/2004,BTS18K_ID,3.0,6-6-6,170/260/350,2.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,3/18/2010,170/260/350,RRH,3.0,30.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2002,CT2002,,,,,CT2002,,,,,121018-YES(FE+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),100 Mbps,505.0,121018-YES(FE+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),CTR,,
3,CT2003,505_50031_CTR_Chittoor_OFC_CT2003,2G+4G,NSN,4G_35033_OFCStation_CT2003,13.21576,79.10481,E-City,Chittoor,Chittoor,SH,Room,5421.0,"Chittoor OFC stn,near fly over bridge ,Chittoor.,Chittoor DT.",Chittoor,CHITTOOR,517001.0,BSNL,BSNL Infra,CT2003,GBT,100.0,40.0,Dual,XAHT,NSN,I,6/4/2004,BTS18K_ID,3.0,6-6-6,10/120/270,2.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,7/14/2010,10/120/270,RRH,3.0,40.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,4.0,CT2003,CT2003,,,,,CT2003,,,,,200718-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),100 Mbps,505.0,200718-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),CTR,,
4,CT2004,505_50041_CTR_Santhapeta_CT2004,2G+4G,NSN,4G_35041_Santhapeta_CT2004,13.22933,79.09169,E-City,Chittoor,Chittoor,,Exchange,5421.0,"CTR_Santhapeta RSU,Chittoor,Chittoor DT.",Chittoor,CHITTOOR,517004.0,BSNL,BSNL Infra,CT2004,GBT,30.0,30.0,Mono,KATHREIN,NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,20/160/230,1.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,3/18/2010,20/160/230,RRH,3.0,30.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2004,CT2004,,,,,,,,,,290618-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),100 Mbps,505.0,290618-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),CTR,,
5,CT2007,505_50071_Kalrodpalli_CT2007,2G+3G,NSN,553_35051_Kalrodpalli_CT2007,13.51366,79.21043,Rural,Kalroadpalli,Pakala,RC,Room,5396.0,"Kalrodpalli,pakala(M),Chittoor DT.",Chittoor,PAKALA,517112.0,NBSNL,BSNL Infra,CT2007,GBT,40.0,40.0,Mono,HIGH WAY,NSN,IV,3/9/2006,S8K_OD,3.0,4-4-4,40/120/225,1.0,OFC,E1,,,,,,,,60.0,Tirupati,,,,RRH,,,,,,,,45 Mbps,,,,,,,,553.0,CT2007,,CT2007,,,,,,,,,"200518YES(CPE,fe1+MADM3/17fx(CDR)+PTN5/5(CDR)+PTN4/5(TRP)+PE-GE1(2-2-19))",45 Mbps,505.0,"130618YES(CPE,fe1+MADM3/17fx(CDR)+PTN5/5(CDR)+PTN4/5(TRP)+PE-GE1(2-2-19))",STD,,
6,CT2009,505_50091_MDP_Madanapalle-RLU_CT2009,2G+4G,NSN,4G_35061_Madanapalle-RLU_CT2009,13.55058,78.5123,E-City,Madanapalle,Madanapalle,,Exchange,5392.0,"Madanapalli RLU,madanapalli,Chittoor DT.",Rajampet,MADANAPALLI,517325.0,BSNL,BSNL Infra,CT2009,MARR,18.0,27.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,9/29/2005,S12K_ID,3.0,6-6-6,0/60/180,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,12/16/2013,0/60/180,ID,3.0,27.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2009,CT2009,,,,,,,,,,270718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),100 Mbps,505.0,270718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),MDP,,
7,CT2010,505_50101_MDP_Madanapalle-MW_CT2010,2G+4G,NSN,4G_35072_Madanapalle-MW_CT2010,13.58141,78.52007,E-City,Madanapalle,Madanapalle,NH,Room,5392.0,"MDP_Madanapalle-MW,madanapalli,Chittoor DT.",Rajampet,MADANAPALLI,517325.0,BSNL,BSNL Infra,CT2010,GBT,100.0,30.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,6/10/2005,S12K_ID,3.0,4-4-4,5/150/215,2.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,12/18/2013,5/150/215,ID,3.0,30.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2010,CT2010,,,,,,,,,,190818-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),100 Mbps,505.0,190818-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),MDP,,
8,CT2012,504_40011_Nagalapuram-CTR_CT2012,2G+3G,NSN,553_35083_Nagalapuram_CT2012,13.38473,79.79882,Rural,Nagalapuram,Nagalapuram,NH,OD Plinth,5403.0,Nagalapuram TE-CTR dt.,Tirupati,SATYAVEDU,517589.0,BSNL,BSNL Infra,CT2012,GBT,40.0,39.0,Mono,HIGH WAY,NSN,IV,5/8/2006,S12K_OD,3.0,4-4-4,70/140/290,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,5/18/2017,70/140/290,RRH,3.0,36.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,50 Mbps,,,,,,Tiruapti,,553.0,CT2012,CT2012,,,,,,,,,,140818YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),50 Mbps,504.0,140818YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),STD,,
9,CT2013,505_50131_NH18_Pileru_CT2013,2G+4G,NSN,4G_35092_Pileru_CT2013,13.65423,78.94377,E-City,Piler,Pileru,NH,Exchange,5386.0,"Piler TE,piler.,Chittoor DT.",Rajampet,PILER,517214.0,BSNL,BSNL Infra,CT2013,GBT,80.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,140/310/60,2.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,2/26/2014,140/310/60,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2013,CT2013,,,,,,,,,,220818-YES(Fe+PIL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,220818-YES(Fe+PIL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),PIL,,
10,CT2014,505_50141_NH4_Bhutalabanda_CT2014,2G,,,13.19976,78.78508,E-City,Buthalabanda,Palamaner,NH,Room,5422.0,Palamaneer Ghat Micro Wave Repeater Station.;Bhuthalabanda. palamaneeru.;Chittoor Dist;517408,Chittoor,PALMANER,517415.0,BSNL,BSNL Infra,CT2014,GBT,60.0,54.0,Mono,HIGH WAY,NSN,I,6/13/2004,S8K_ID,2.0,4-4-0,95/277,,DMW,,,NEW NEC(HFCL),0.60.9,BSC70-63_Mogalimittoor_CT2261,FE,,,70.0,Tirupati,,,,,,,,,,,,,,,,,,,,,CT2014,,,,,,,,,,,,,505.0,240818-YES(FE+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),STD,,
