SR.NO,RPID,SITE_NAME,TECHNOLOGY,3G_TECH,SITE_NAME_3G,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
1,CT2005,BSC68-40_Damalacheruvu_CT2005A,2G+3G,HUW,102_0110_Damalacheruvu_CT2005B,13.4803,79.04797,Rural,Damalacheruvu,Pakala,RC,Room,5396.0,"Damalcheruvu (v),pakala(M),Chittoor DT.",Chittoor,PAKALA,517152.0,NBSNL,BSNL Infra,CT2005,GBT,80.0,33.0,Mono,HIGH WAY,Nortel,I,4/8/2005,S8K_ID,3.0,4-4-4,100/140/320,1.0,OFC,E1,,,,,,,,60.0,Tirupati,VII +,3/1/2017,100/140/320,ID,3.0,33.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2005,,,,,100 Mbps,0.0,,,,
2,CT2011,BSC68-18_NH18_Mahal_CT2011B,2G,,,13.7738,78.79061,Rural,Mahal,Kalakada,NH,Exchange,5371.0,"Mahal exge,kalakada(M),Chittoor DT.",Rajampet,VAYALPADU,517235.0,BSNL,BSNL Infra,CT2011,GBT,80.0,40.0,Mono,HIGH WAY,Nortel,I,6/4/2004,S8K_ID,3.0,4-4-4,20/160/270,2.0,OFC,E1,,,,,,,,68.0,Tirupati,,,,,,,,,,,,,,,,,,,,,,,,,,,,CT2011,,,2017941434@@,,,0.0,,,,
3,CT2018,BSC70-23_Rayalpeta_CT2018B,2G+3G,HUW,102_0171_Rayalpeta_CT2018B,13.32749,78.72491,Rural,Rayalpeta,Peddapanjani,,Exchange,5416.0,"Rayalpeta(V),peddapanjani(M),Chittoor DT.",Rajampet,PUNGANUR,517419.0,BSNL,BSNL Infra,CT2018,GBT,30.0,30.0,Mono,KATHREIN,Nortel,IV,2/21/2006,S12K_OD,3.0,4-4-4,40/200/280,,DMW,,,HUAWEI,0.6m,BSC70-22_Pedapanjani_CT2152B,E1,1.0,,70.0,Tirupati,VII +,5/6/2017,40/200/280,id,3.0,29.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,20 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2018,,,2017265546@12/9/2017@,,20 Mbps,0.0,,,,
4,CT2026,BSC68-19_Gurramkonda_CT2026A,2G+3G,HUW,102_0153_Gurramkonda_CT2026A,13.78259,78.58524,Rural,Gurramkonda,Gurramkonda,SH,Exchange,5370.0,"Gurramkonda(V&M),Chittoor DT.",Rajampet,VAYALPADU,517297.0,BSNL,BSNL Infra,CT2026,GBT,40.0,40.0,Mono,KATHREIN,Nortel,IV,12/31/2005,S12K_ID,3.0,4-4-4,174/251/336,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,5/8/2017,174/251/336,ID,3.0,39.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2026,,,,,100 Mbps,0.0,,,,
5,CT2030,BSC70-21_Ramasamudram_CT2030A,2G+3G,HUW,102_0172_Ramasamudram_CT2030C,13.36484,78.42752,Rural,Ramasamudram,Ramasamudram,,Exchange,5414.0,"Ramsamdram(V&M),Chittoor DT.",Rajampet,PUNGANUR,517417.0,BSNL,BSNL Infra,CT2030,GBT,40.0,40.0,Mono,KATHREIN,Nortel,IV,1/28/2006,S12K_ID,3.0,4-4-4,88/167/280,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII +,5/6/2017,88/167/280,ID,3.0,39.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2030,,,,,45 Mbps,0.0,,,,
6,CT2038,BSC70-11_Aragonda_CT2038A,2G+3G,ZTE,346_4769_Aragonda_CT2038B,13.26844,78.97016,Rural,Aragonda,Thavanampalle,SH,Exchange,5418.0,"Amara Raja Electronics Company, Digavamaghm, Aragonda(V), Thavanampalli (M), Chittoor DT - 517129",Chittoor,BANGARUPALYAM,517129.0,BSNL,BSNL Infra,CT2038,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV,12/30/2005,S12K_ID,3.0,4-4-4,90/230/330,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,7/1/2014,90/230/330,ID,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2038,,,,,100 Mbps,0.0,,,,
7,CT2039,BSC68-12_BKotakotaSDCA_CT2039A,2G+3G,ZTE,346_4767_BKothakotaSDCA_CT2039A,13.65489,78.26188,Rural,B.Kothakota,B.Kothakota,SH,Exchange,5391.0,"BKothakotaSDCA(V&M),Chittoor DT.",Rajampet,B.KOTHAKOTA,517370.0,BSNL,BSNL Infra,CT2039,GBT,60.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV,5/9/2006,BTS18K_ID,3.0,4-4-4,14/102/227,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,7/21/2014,14/102/227,ID,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2039,,,,,100 Mbps,0.0,,,,
8,CT2043,BSC68-14_Burakayalakta_CT2043A,2G+3G,HUW,102_0165_Burrakayalakota_CT2043,13.72976,78.35275,Rural,Burakayalakota,B.Kothakota,SH,Exchange,5391.0,"Burrakayalakota,Bkotakota(M),Chittoor DT.",Rajampet,MADANAPALLI,517351.0,BSNL,BSNL Infra,CT2043,GBT,40.0,35.0,Dual,AGISSON,Nortel,IV,11/17/2005,S12K_ID,3.0,4-4-4,120/230/315,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VIII,,,ID,,,,,OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,CT2043,,,CT2043,BSC68-26_Valasapalle_CT2295B,ID,,,100 Mbps,0.0,,,,
9,CT2046,BSC70-13_GDNellore_CT2046A,2G+3G,ZTE,346_4737_GDNellore_CT2046A,13.23308,79.18182,E-City,GDNellore,Gangadhara Nellore,SH,Exchange,5420.0,"GDNellore(V&M),Chittoor DT.",Chittoor,CHITTOOR,517128.0,BSNL,BSNL Infra,CT2046,GBT,40.0,38.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV,4/21/2006,BTS18K_ID,3.0,4-4-4,37/120/255,2.0,OFC,E1,,,,,,,,60.0,Tirupati,VII,4/16/2014,37/120/255,ID,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,45 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2046,,,,,45 Mbps,0.0,,,,
10,CT2048,BSC68-13_Horselyhills_CT2048B,2G+3G,HUW,102_0109_HorselyHills_CT2048B,13.64954,78.39674,Rural,Horsleyhills,B.Kothakota,TS,Room,5391.0,"horselyhills,B.kothakota(M),Chittoor DT.",Rajampet,MADANAPALLI,517352.0,BSNL,BSNL Infra,CT2048,GBT,40.0,36.0,Mono,HIGH WAY,Nortel,III,8/28/2004,S12K_ID,3.0,4-4-4,120/350/40,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,3/7/2017,120/350/40,ID,3.0,36.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,102.0,,,,,,,,CT2048,,,,,100 Mbps,0.0,,,,
