SR.NO,RPID,SITE_NAME_3G,SITE_NAME_2G,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
1,CT2019,346_5905_TPT_TirumalaResidency_CT2019A,504_40031_TirumalaResidency_CT2019,2G+3G,ZTE,13.62744,79.42889,DHQ,Tirupati,Tirupati (Urban),NH,Room,5383.0,"TRP_TirumalaResidency,tirupati,,Chittoor DT.",Tirupati,CHANDRAGIRI,517501.0,NBSNL,BSNL Infra,CT2019,MARR,18.0,30.0,Dual,XAHT,NSN,IV,1/20/2006,BTS18K_ID,3.0,4-4-4,0/120/240,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,0/120/240,RRH,3.0,26.0,Mono,AGISSON,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2019,,,,,,CT2019,,,,,,100 Mbps,504,190718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
2,CT2020,346_5906_TPT_TiruchaNoor_CT2020A,504_40041_Tiruchanoor_CT2020,2G+3G,ZTE,13.60804,79.45194,DHQ,Tirupati,Tirupati (Rural),,Room,5375.0,"TRP_Tiruchanoor,near tirupati,,Chittoor DT.",Tirupati,CHANDRAGIRI,517503.0,NBSNL,BSNL Infra,CT2020,MARR,21.0,26.0,Dual,KATHREIN,NSN,IV,5/26/2006,S12K_OD,3.0,4-4-4,120/240/320,,DMW,,,NEW NEC,0.6 m,BSC58-30_TRPCottonMill_CT2198B,E1,1.0,,58.0,Tirupati,V.1,3/18/2010,120/240/320,ID,3.0,26.0,Mono,Agisson,DMW,,,50 Mbps,NEW NEC,0.6 m,CT2198,FE,,Tiruapti,100 Mbps,346.0,CT2020,,,,,,,,,,2015812114@G/FVC/HYD/3156690/2016@CLEARED ONLINE,,50 Mbps,504,"120718-YES-(DMW,FE+TRP-MADM+PE2(2-2-31))",TRP,,
3,CT2021,346_5907_TPT_Bhavaningr_CT2021A,504_40051_Bhavaninagar_CT2021,2G+3G,ZTE,13.64056,79.42027,DHQ,Tirupati,Tirupati (Urban),,OD Plinth,5383.0,"TRP_Bhavaninagar,Chittoor DT.",Tirupati,CHANDRAGIRI,517501.0,BSNL,BSNL Infra,CT2021,MARR,15.0,27.0,Mono,KATHREIN,NSN,IV,9/28/2005,S12K_ID,3.0,4-4-4,0/120/240,1.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,0/120/240,OD,3.0,27.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2021,,,,,,,,,,,,100 Mbps,504,240718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
4,CT2022,346_5908_TPT_PadmavathiPuram_CT2022A,504_40061_Padmavatipuram_CT2022,2G+3G,ZTE,13.61646,79.43544,DHQ,Tirupati,Tirupati (Rural),NH,Exchange,5375.0,"TRP_Padmavatipuram,Chittoor DT.",Tirupati,CHANDRAGIRI,517503.0,BSNL,BSNL Infra,CT2022,MARR,21.0,27.0,Dual,KATHREIN,NSN,IV,6/4/2005,S12K_ID,3.0,4-4-4,130/240/350,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,130/240/350,RRH,3.0,27.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2022,,,,,,,,,,,,100 Mbps,504,230718-YES-(FE+TRP-MADM+PE2(2-2-31)),TRP,,
5,CT2023,346_5909_TPT_Renigunta_CT2023A,504_40071_Renigunta_CT2023,2G+3G,ZTE,13.63683,79.49588,DHQ,Renigunta,Renigunta,RC,Exchange,5376.0,"Renigunta Exchange,Beside Govt high school,Renigunta,Tirupati,Chittoor District, Pin-517520",Tirupati,CHANDRAGIRI,517520.0,BSNL,BSNL Infra,CT2023,GBT,40.0,34.0,Dual,Agisson,NSN,II+,6/4/2004,S12K_ID,3.0,4-4-4,80/110/260,1.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,80/110/260,RRH,3.0,34.0,Dual,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2023,,,,,,,,,,,,100 Mbps,504,230718-YES-(GE+RENI_PTN+NIB-4/5+PE-GE1(2-2-19)),TRP,,
6,CT2037,346_5913_TPT_SVU_CT2037A,504_40111_SVUGuestHouse_CT2037,2G+3G,ZTE,13.62389,79.39261,DHQ,Tirupati,Tirupati (Rural),RC,Shelter,5375.0,"S.V UNIVERSITY;Tirupati, Andhra Pradesh",Tirupati,CHANDRAGIRI,517501.0,NBSNL,BSNL Infra,CT2037,GBT,40.0,30.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,II+,6/4/2004,BTS18K_ID,3.0,4-4-4,50/160/240,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,50/160/240,RRH,3.0,30.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2037,,,,,,CT2037,,,,,,100 Mbps,504,"220718-YES-(DMW,E1+TRP-MADM+CAR-STM)",TRP,,
7,CT2038,346_4769_Aragonda_CT2038B,BSC70-11_Aragonda_CT2038A,2G+3G,ZTE,13.26844,78.97016,Rural,Aragonda,Thavanampalle,SH,Exchange,5418.0,"Amara Raja Electronics Company, Digavamaghm, Aragonda(V), Thavanampalli (M), Chittoor DT - 517129",Chittoor,BANGARUPALYAM,517129.0,BSNL,BSNL Infra,CT2038,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV,12/30/2005,S12K_ID,3.0,4-4-4,90/230/330,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,7/1/2014,90/230/330,ID,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2038,,,,,100 Mbps,0,,,,
8,CT2039,346_4767_BKothakotaSDCA_CT2039A,BSC68-12_BKotakotaSDCA_CT2039A,2G+3G,ZTE,13.65489,78.26188,Rural,B.Kothakota,B.Kothakota,SH,Exchange,5391.0,"BKothakotaSDCA(V&M),Chittoor DT.",Rajampet,B.KOTHAKOTA,517370.0,BSNL,BSNL Infra,CT2039,GBT,60.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV,5/9/2006,BTS18K_ID,3.0,4-4-4,14/102/227,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,7/21/2014,14/102/227,ID,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2039,,,,,100 Mbps,0,,,,
9,CT2040,346_5914_Bairagipatteda_CT2040A,504_40121_Bairagipatteda_CT2040,2G+3G,ZTE,13.62006,79.42385,DHQ,Tirupati,Tirupati (Urban),,Room,5383.0,"TRP-Bairagipatteda,Chittoor DT.",Tirupati,CHANDRAGIRI,517501.0,NBSNL,BSNL Infra,CT2040,RTT,15.0,18.0,Mono,KATHREIN,NSN,IV,9/27/2007,S12K_ID,3.0,4-4-4,150/240/310,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,150/240/310,RRH,3.0,18.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2040,,,,,,,,,,,,100 Mbps,504,"130718-YES-(CPE,FE+TRP-MADM+PE2(2-2-31))",TRP,,
10,CT2046,346_4737_GDNellore_CT2046A,BSC70-13_GDNellore_CT2046A,2G+3G,ZTE,13.23308,79.18182,E-City,GDNellore,Gangadhara Nellore,SH,Exchange,5420.0,"GDNellore(V&M),Chittoor DT.",Chittoor,CHITTOOR,517128.0,BSNL,BSNL Infra,CT2046,GBT,40.0,38.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV,4/21/2006,BTS18K_ID,3.0,4-4-4,37/120/255,2.0,OFC,E1,,,,,,,,60.0,Tirupati,VII,4/16/2014,37/120/255,ID,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,45 Mbps,,,,,,Tiruapti,,346.0,,,,,,,,CT2046,,,,,45 Mbps,0,,,,
