,SNO,VENDOR,SITE,SDCA,GEN,AVAILABILITY,TRAFFIC,DOWN TIME,DOWN DURATION,REASON,UPDATED BY
0,1,NSN,505_14_NH4_Bhutalabanda_CT2014,PALAMANER,2G,86.6,130.81 ERL,2021-07-03 17:34:40,20:45:20,Update,
1,2,NOR,BSC70-61_Rallabudugur_CT2284B,KUPPAM,2G,94.3,59.42 ERL,2021-07-03 20:59:03,17:20:57,Media - STR Linear OFC Break,919490607899.0
2,3,NOR,BSC70-84_Panatoor_CT2272B,CHITTOOR,2G,98.5,107.80 ERL,2021-07-04 12:01:20,02:18:40,Power - Low Battery Backup,919490667322.0
3,4,HUW,102_0189_Panatoor_CT2272,CHITTOOR,3G,100.0,8.94 GB,2021-07-04 12:01:27,02:18:33,Power - Low Battery Backup,919490667322.0
4,5,NOR,BSC70-87_VavilThota_CT2297B,CHITTOOR,2G,46.8,88.72 ERL,2021-07-04 12:05:50,02:14:10,Power - Power Fail at Built Up site,919490667322.0
5,6,HUW,102_0141_VezzupalleUSO_CT2187B,CHITTOOR,3G,58.9,33.34 GB,2021-07-04 12:06:00,02:14:00,Power - APSEB Power Supply Problem,919490667322.0
6,7,HUW,102_0184_Varathuru_USO_CT2182,CHITTOOR,3G,54.8,20.59 GB,2021-07-04 12:06:01,02:13:59,Power - Power Fail at Built Up site,919490667322.0
7,8,NOR,BSC70-28_VezzupalleUSO_CT2187B,CHITTOOR,2G,58.5,111.56 ERL,2021-07-04 12:06:06,02:13:54,Power - APSEB Power Supply Problem,919490667322.0
8,9,NOR,BSC70-33_ChinaThayyur_CT2230B,PUTTUR,2G,58.5,33.54 ERL,2021-07-04 12:06:06,02:13:54,Update,
9,10,ZTE,346_5975_SRINAGAR COLONY_IND_CT5521,CHANDRAGIRI,3G,100.0,69.74 GB,2021-07-04 12:33:50,01:46:10,Update,
10,11,NOR,BSC68-45_Vengamvarpali_CT2288C,MADANAPALLI,2G,100.0,35.93 ERL,2021-07-04 12:42:53,01:37:07,Power - DG fault,919491390770.0
11,12,NOR,BSC70-42_M-Kothur_CT5047C,PALAMANER,2G,58.7,32.53 ERL,2021-07-04 14:04:45,00:15:15,,
