Unnamed: 0,AP_IP,Occurred_Time,POE_Status,UPS_Status,CIRCLE,SSA,AP_ID,AP_Location,Category,Vendor,Phase,Commissioned_Status
0,10.172.198.224,2021-07-29 11:22:07,dn,dn,AP,CHT,SAPCHTXARGDAP01,ARAGUNDA,USOF,LNT,2,Yes
1,10.166.165.59,2021-08-25 05:15:32,dn,dn,AP,CHT,SAPCHTXAVAZAP01,Avanthi,USOF,TCIL,2,Yes
2,10.166.165.11,2021-08-25 09:05:33,dn,dn,AP,CHT,SAPCHTXCHEZAP01,Chembakur,USOF,TCIL,2,Yes
3,10.166.165.68,2021-08-25 18:35:33,dn,dn,AP,CHT,SAPCHTXCHIZAP01,Chinna Pandur,USOF,TCIL,2,Yes
4,10.166.60.21,2021-05-01 17:35:33,dn,dn,AP,CHT,SAPCHTXDMLUAP01,Damalacheruvu,USOF,TCIL,1,Yes
5,10.166.60.227,2021-08-25 18:30:33,dn,dn,AP,CHT,SAPCHTXDRAZAP01,Dravidan University Kuppam,USOF,TCIL,2,Yes
6,10.166.165.14,2021-02-08 17:20:29,dn,dn,AP,CHT,SAPCHTXGAJZAP01,Gajjalavaripalli,USOF,TCIL,2,Yes
7,10.166.60.224,2021-08-25 18:30:33,dn,dn,AP,CHT,SAPCHTXGUDZAP01,Gudupalli,USOF,TCIL,2,Yes
8,10.166.165.71,2021-08-25 18:35:33,dn,dn,AP,CHT,SAPCHTXIRUZAP01,Irugulam,USOF,TCIL,2,Yes
9,10.166.165.17,2021-08-25 09:05:33,dn,dn,AP,CHT,SAPCHTXKCPZAP01,K C Palli,USOF,TCIL,2,Yes
10,10.166.165.86,2021-08-25 18:30:33,dn,dn,AP,CHT,SAPCHTXKPMZAP01,Kuppam2,USOF,TCIL,2,Yes
11,10.166.60.245,2021-08-25 18:30:33,dn,dn,AP,CHT,SAPCHTXKPPZAP01,Kuppam Engg Coleege Kuppam,USOF,TCIL,2,Yes
12,10.166.60.60,2021-07-14 07:55:34,dn,dn,AP,CHT,SAPCHTXMLKUAP01,Mulakalacheruvu,USOF,TCIL,1,Yes
13,10.166.60.242,2021-08-25 18:30:33,dn,dn,AP,CHT,SAPCHTXPATZAP01,Pathapeta cell site Kuppam,USOF,TCIL,2,Yes
14,10.166.60.230,2021-08-25 18:30:33,dn,dn,AP,CHT,SAPCHTXPESZAP01,Pes Medical College,USOF,TCIL,2,Yes
15,10.172.198.230,2021-03-08 13:46:46,dn,dn,AP,CHT,SAPCHTXPKLAAP01,Pakala,USOF,LNT,1,Yes
16,10.166.60.197,2020-08-31 09:50:30,dn,dn,AP,CHT,SAPCHTXPOLZAP01,Polakala,USOF,TCIL,2,Yes
17,10.166.60.93,2021-08-25 11:35:33,dn,dn,AP,CHT,SAPCHTXRMKMAP01,Ramakuppam,USOF,TCIL,1,Yes
18,10.166.165.20,2021-08-25 09:05:33,dn,dn,AP,CHT,SAPCHTXRMUZAP01,Ramasamudram,USOF,TCIL,2,Yes
19,10.166.60.167,2021-08-25 06:55:32,dn,dn,AP,CHT,SAPCHTXSANZAP01,Santhavellore Uso Site Room,USOF,TCIL,2,No
20,10.166.60.170,2021-08-25 18:05:34,dn,dn,AP,CHT,SAPCHTXSHAZAP01,Shanthipuram Cell Site,USOF,TCIL,2,No
21,10.166.60.111,2021-08-25 18:25:33,dn,dn,AP,CHT,SAPCHTXVNAAAP01,Venkatagirikota,USOF,TCIL,1,Yes
22,10.166.60.6,2021-08-25 19:35:33,up,dn,AP,CHT,SAPCHTXBKRAAP01,Bakarapeta,USOF,TCIL,1,Yes
23,10.172.198.238,2021-04-17 14:35:38,up,dn,AP,CHT,SAPCHTXBRPLAP01,Bireddypalli,USOF,LNT,1,Yes
24,10.166.60.185,2021-08-25 19:50:33,up,dn,AP,CHT,SAPCHTXCHOZAP01,Chowdasamudram,USOF,TCIL,2,Yes
25,10.166.60.30,2021-08-25 09:05:33,up,dn,AP,CHT,SAPCHTXIAAAAP01,Irala,USOF,TCIL,1,Yes
26,10.166.60.239,2021-08-25 19:40:33,up,dn,AP,CHT,SAPCHTXVALZAP01,Vallivedu Chittoor,USOF,TCIL,2,No
