OLT Owner,Working Connections
BBNL,39
BSNL,623
BSNL_DSLAM,14
CHT_CHT_DIGITAL,3611
CHT_MDP_SRIADITYACOMM,23
CHT_TRP_SRINIVASA,256
LAKSHMICITY_APCHT,23
SAPCHT_AMARAVATHI,518
SAPCHT_AMMACABLE,524
SAPCHT_AMRITHACOMM,265
SAPCHT_AVEROMAN,104
SAPCHT_BALAJICOMM,543
SAPCHT_BALAJICOMMZ,185
SAPCHT_CHARMLED,738
SAPCHT_DASSERVICES,107
SAPCHT_DEVILAKSHMI,252
SAPCHT_DHANALAKSHMI,219
SAPCHT_GANAPATHI,1207
SAPCHT_HAPPYCOMM,153
SAPCHT_JOSNIKA,11
SAPCHT_KARTHIKEYA,245
SAPCHT_KKCOMM,26
SAPCHT_KRISHNACABLE,110
SAPCHT_KRISHNACOMM,298
SAPCHT_LAKSHMI,509
SAPCHT_MEGHANA,18
SAPCHT_MKCABLENW,96
SAPCHT_MNRTECH,647
SAPCHT_MNVSOLUTIONS,307
SAPCHT_MOKSHASAI,585
SAPCHT_NYRCABLENW,159
SAPCHT_PICHATURCNW,215
SAPCHT_PINAKA,507
SAPCHT_PRAJENDRA,116
SAPCHT_PRAVEEN,320
SAPCHT_RCLELECTRON,168
SAPCHT_SAICABLE,1060
SAPCHT_SDPCOMM,329
SAPCHT_SEVENHILLS,146
SAPCHT_SHANVIKAA,132
SAPCHT_SHIRDISAI,28
SAPCHT_SRFIBERPLR,319
SAPCHT_SRILAKSHMI,1247
SAPCHT_SRISAI,398
SAPCHT_SURYABB,394
SAPCHT_SVINFOCOM,58
SAPCHT_SVSCABLENW,19
SAPCHT_UTGROUP,164
SAPCHT_VANARANICNW,74
SAPCHT_VANI,961
SAPCHT_VIJAYCABLE,55
SAPCHT_VINAYAKACN,46
SAPCHT_VKRRCOMM,219
SRINIVASA4_APCHT,8
,97
TOTAL,19495
