"Circle","SSA","OLT Owner","Working Connections"
"AP","ANANTPUR","ATP_GLX_YOHAN","913"
"AP","ANANTPUR","ATP_KAD_PARIKI","321"
"AP","ANANTPUR","ATP_PKD_EARTHLINK","312"
"AP","ANANTPUR","ATP_TTR_SRIKRISHNA","933"
"AP","ANANTPUR","BSNL","2936"
"AP","ANANTPUR","SAPATP_AMARESHWARA","62"
"AP","ANANTPUR","SAPATP_CHALAVADI","2369"
"AP","ANANTPUR","SAPATP_DANISH","156"
"AP","ANANTPUR","SAPATP_DGHOUSEPEERA","64"
"AP","ANANTPUR","SAPATP_DINAKARA","413"
"AP","ANANTPUR","SAPATP_ESHANETWORKS","1246"
"AP","ANANTPUR","SAPATP_GANGADHAR","18"
"AP","ANANTPUR","SAPATP_GCSEKHAR","168"
"AP","ANANTPUR","SAPATP_GNLSERVICES","186"
"AP","ANANTPUR","SAPATP_GROWTHFIBER","61"
"AP","ANANTPUR","SAPATP_KIRANKUMAR","529"
"AP","ANANTPUR","SAPATP_KVINAYGOWD","54"
"AP","ANANTPUR","SAPATP_RAMAKRISHNAD","504"
"AP","ANANTPUR","SAPATP_RAMANAIAH","58"
"AP","ANANTPUR","SAPATP_RAMESHCOMM","428"
"AP","ANANTPUR","SAPATP_RAVEENDRADMM","1090"
"AP","ANANTPUR","SAPATP_REDDYCABLE","658"
"AP","ANANTPUR","SAPATP_SAINIDHIFTTH","1130"
"AP","ANANTPUR","SAPATP_SANKARA","62"
"AP","ANANTPUR","SAPATP_SHEMLANAIK","113"
"AP","ANANTPUR","SAPATP_SLVDC","88"
"AP","ANANTPUR","SAPATP_SPARKNET","1654"
"AP","ANANTPUR","SAPATP_THARUND","223"
"AP","ANANTPUR","SAPATP_VISTARA","69"
"AP","ANANTPUR","SAPATP_VPRADEEP","319"
"AP","ANANTPUR","SKLALP_SLP_SPECTRA","1"
"AP","ANANTPUR","STPATP_CHLAVADI","170"
"AP","ANANTPUR","","358"
"AP","CUDDAPAH","BSNL","1035"
"AP","CUDDAPAH","BSNL_DSLAM","7"
"AP","CUDDAPAH","SAPCDP_BVLBFN","114"
"AP","CUDDAPAH","SAPCDP_BVLUCS","161"
"AP","CUDDAPAH","SAPCDP_CDPGRP","229"
"AP","CUDDAPAH","SAPCDP_CDPISK","80"
"AP","CUDDAPAH","SAPCDP_CDPSLG","99"
"AP","CUDDAPAH","SAPCDP_DVRSDN","66"
"AP","CUDDAPAH","SAPCDP_GVUACN","237"
"AP","CUDDAPAH","SAPCDP_JMUSNC","7"
